Linux 6.8.0-60-generic (masterserver) 	21/06/25 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:54:43        0       251    0,00    0,00    0,00    0,00    0,00    10  kworker/10:1H-kblockd
03:54:43        0       253    0,00    0,00    0,00    0,00    0,00    11  kworker/11:1H-kblockd
03:54:43        0       260    0,00    0,00    0,00    0,00    0,00     9  kworker/9:1H-kblockd
03:54:43        0       261    0,00    0,00    0,00    0,00    0,00    15  kworker/15:2-events
03:54:43        0       262    0,00    0,00    0,00    0,00    0,00    10  kworker/R-nvme-
03:54:43        0       263    0,00    0,00    0,00    0,00    0,00     9  kworker/R-nvme-
03:54:43        0       264    0,00    0,00    0,00    0,00    0,00     9  kworker/R-nvme-
03:54:43        0       265    0,00    0,00    0,00    0,00    0,00    10  kworker/R-nvme-
03:54:43        0       268    0,00    0,00    0,00    0,00    0,00     9  scsi_eh_0
03:54:43        0       270    0,00    0,00    0,00    0,00    0,00     9  kworker/R-scsi_
03:54:43        0       273    0,00    0,00    0,00    0,00    0,00    11  scsi_eh_1
03:54:43        0       274    0,00    0,00    0,00    0,00    0,00    14  kworker/R-scsi_
03:54:43        0       276    0,00    0,00    0,00    0,00    0,00    12  scsi_eh_2
03:54:43        0       277    0,00    0,00    0,00    0,00    0,00     9  kworker/R-scsi_
03:54:43        0       282    0,00    0,00    0,00    0,00    0,00     7  scsi_eh_3
03:54:43        0       288    0,00    0,00    0,00    0,00    0,00    10  kworker/R-scsi_
03:54:43        0       292    0,00    0,00    0,00    0,00    0,00     3  kworker/3:1H-kblockd
03:54:43        0       308    0,00    0,00    0,00    0,00    0,00     4  kworker/4:2-events
03:54:43        0       314    0,00    0,00    0,00    0,00    0,00     5  kworker/5:1H-kblockd
03:54:43        0       332    0,00    0,00    0,00    0,00    0,00    15  kworker/R-kdmfl
03:54:43        0       365    0,00    0,00    0,00    0,00    0,00    14  kworker/R-raid5
03:54:43        0       449    0,00    0,00    0,00    0,00    0,00     7  jbd2/dm-0-8
03:54:43        0       450    0,00    0,00    0,00    0,00    0,00    14  kworker/R-ext4-
03:54:43        0       524    0,00    0,00    0,00    0,00    0,00     7  psimon
03:54:43        0       529    0,00    0,00    0,00    0,00    0,00    15  systemd-journal
03:54:43        0       553    0,00    0,00    0,00    0,00    0,00     9  kworker/R-kmpat
03:54:43        0       554    0,00    0,00    0,00    0,00    0,00     9  kworker/R-kmpat
03:54:43        0       586    0,00    0,00    0,00    0,00    0,00     3  kworker/3:2-events
